	f	ranksum	chi	mi	all
0	1	1	43	59	43
1	43	43	10	12	10
2	40	10	1	10	1
3	10	26	18	61	19
4	59	11	20	60	40
5	11	35	19	43	56
6	26	12	40	19	12
7	35	59	34	1	20
8	56	19	8	56	59
9	24	62	16	62	61
10	60	24	3	33	18
11	62	20	56	24	2
12	0	18	46	20	60
13	61	60	2	58	26
14	2	40	7	8	24
15	12	56	47	35	62
16	18	2	54	22	35
17	34	52	21	46	11
18	19	23	42	11	0
19	20	61	0	16	46
20	46	9	12	40	34
21	53	0	53	26	47
22	58	21	38	23	8
23	52	55	61	2	52
24	54	51	36	38	16
25	47	13	55	47	55
26	42	33	66	51	7
27	3	50	45	32	3
28	23	48	9	13	53
29	4	32	17	18	54
30	63	31	41	34	33
31	55	47	52	7	23
32	38	7	39	0	42
33	49	3	48	37	58
34	66	4	44	52	38
35	8	6	15	55	9
36	16	5	49	28	13
37	9	63	26	6	48
38	13	53	50	53	21
39	7	34	57	17	32
40	48	42	60	54	45
41	17	16	5	36	17
42	45	46	59	29	50
43	36	54	37	5	5
44	33	49	24	44	63
45	32	45	4	42	36
46	5	39	33	41	66
47	50	8	62	48	49
48	57	44	28	3	4
49	44	58	63	31	51
50	41	28	58	63	44
51	28	27	25	45	37
52	39	37	35	25	41
53	37	66	29	9	28
54	21	57	30	50	39
55	31	29	11	27	6
56	6	41	27	66	31
57	29	17	13	65	22
58	30	38	23	49	57
59	27	22	32	39	29
60	15	36	51	30	27
61	22	30	31	14	15
62	25	64	67	57	25
63	51	25	22	15	30
64	64	15	64	4	64
65	14	14	14	21	14
66	67	67	6	64	65
67	65	65	65	67	67
